Produto,Categoria,Preco,Quantidade,DataVenda
Smart Watch MI,Smart Watch,1200,5,2016-01-01
Smart TV 50' 4K,Televisão,2600,2,2016-01-01
Smart TV LED Full HD 55',Televisão,2000,1,2016-01-01
Galaxy S8,Celular,3000,1,2016-01-01
Smart TV LED Full HD 55',Televisão,2000,5,2016-01-01
Moto Z,Celular,1500,4,2016-01-01
iPhone XS,Celular,6500,2,2016-01-01
Galaxy S8,Celular,3000,3,2016-01-01
Câmera Coolpix L340,Câmera,1550,2,2016-01-01
Câmera Digital Rebel T6,Câmera,1500,4,2016-01-01
Inspiron 15,Notebook,2300,4,2016-01-01
Galaxy S8,Celular,3000,5,2016-01-01
Smart TV LED Full HD 55',Televisão,2000,5,2016-01-01
Aspire 5,Notebook,2400,5,2016-01-01
Moto G7,Celular,1400,4,2016-01-01
iPhone 7,Celular,2500,4,2016-01-01
Inspiron 15,Notebook,2300,3,2016-01-01
Câmera Digital Rebel T6,Câmera,1500,5,2016-01-01
Galaxy J8,Celular,1100,3,2016-01-01
Galaxy S10,Celular,4500,4,2016-01-01
Smart TV 50' 4K,Televisão,2600,5,2016-01-01
iPhone 6S,Celular,1900,2,2016-01-01
Smart TV LED Full HD 55',Televisão,2000,4,2016-01-01
Aspire 5,Notebook,2400,2,2016-01-01
Galaxy J8,Celular,1100,3,2016-01-01
Moto G7,Celular,1400,1,2016-01-01
Samsung Dual Core,Notebook,1500,5,2016-01-01
Câmera Coolpix L340,Câmera,1550,4,2016-01-01
Smart TV LED Full HD 55',Televisão,2000,4,2016-01-01
Galaxy S10,Celular,4500,4,2016-01-01
iPhone 7,Celular,2500,3,2016-01-01
iPhone 7,Celular,2500,3,2016-01-01
Inspiron 15,Notebook,2300,2,2016-01-01
iPhone XS,Celular,6500,4,2016-01-02
Smart TV LED Full HD 55',Televisão,2000,1,2016-01-02
Smart TV 50' 4K,Televisão,2600,4,2016-01-02
Câmera Digital Rebel T6,Câmera,1500,5,2016-01-02
Câmera Digital Rebel T6,Câmera,1500,3,2016-01-02
Moto G7,Celular,1400,1,2016-01-02
iPhone XS,Celular,6500,2,2016-01-02
Câmera Digital Rebel T6,Câmera,1500,5,2016-01-02
Samsung Dual Core,Notebook,1500,5,2016-01-02
Inspiron 15,Notebook,2300,5,2016-01-02
Smart TV 50' 4K,Televisão,2600,2,2016-01-02
Galaxy S8,Celular,3000,5,2016-01-02
iPhone XS,Celular,6500,3,2016-01-02
Smart TV 50' 4K,Televisão,2600,3,2016-01-02
Smart TV 50' 4K,Televisão,2600,3,2016-01-02
Câmera Digital Rebel T6,Câmera,1500,5,2016-01-02
Smart TV 50' 4K,Televisão,2600,2,2016-01-02
Câmera Coolpix L340,Câmera,1550,3,2016-01-02
iPhone XS,Celular,6500,4,2016-01-02
iPhone XS,Celular,6500,2,2016-01-02
Samsung Dual Core,Notebook,1500,3,2016-01-02
Galaxy S8,Celular,3000,1,2016-01-02
Smart Watch MI,Smart Watch,1200,1,2016-01-03
Smart TV 50' 4K,Televisão,2600,1,2016-01-03
Smart TV 75' 4K,Televisão,5200,5,2016-01-03
Smart TV 50' 4K,Televisão,2600,4,2016-01-03
