Loja,Estado,Data da Venda,Produto,Marca,Categoria,Preço Unitário,Custo Unitário,Tamanho Pedido
Fortaleza,Ceara,2016-01-01,Smart TV 50' 4K,LG,Televisão,2600,1700,2
São Paulo,São Paulo,2016-01-01,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Recife,Pernanbuco,2016-01-02,Smart TV 50' 4K,LG,Televisão,2600,1700,4
São Paulo,São Paulo,2016-01-02,Smart TV 50' 4K,LG,Televisão,2600,1700,2
São Paulo,São Paulo,2016-01-02,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Curitiba,Paraná,2016-01-02,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Niterói,Rio de Janeiro,2016-01-02,Smart TV 50' 4K,LG,Televisão,2600,1700,2
Rio de Janeiro,Rio de Janeiro,2016-01-03,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Belo Horizonte,Minas Gerais,2016-01-03,Smart TV 50' 4K,LG,Televisão,2600,1700,4
Recife,Pernanbuco,2016-01-03,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Fortaleza,Ceara,2016-01-03,Smart TV 50' 4K,LG,Televisão,2600,1700,3
São Paulo,São Paulo,2016-01-03,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Salvador,Bahia,2016-01-03,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Campinas,São Paulo,2016-01-03,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Belo Horizonte,Minas Gerais,2016-01-04,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Rio de Janeiro,Rio de Janeiro,2016-01-04,Smart TV 50' 4K,LG,Televisão,2600,1700,5
São Paulo,São Paulo,2016-01-04,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Rio de Janeiro,Rio de Janeiro,2016-01-04,Smart TV 50' 4K,LG,Televisão,2600,1700,4
Nova Iguaçu,Rio de Janeiro,2016-01-04,Smart TV 50' 4K,LG,Televisão,2600,1700,4
São Paulo,São Paulo,2016-01-05,Smart TV 50' 4K,LG,Televisão,2600,1700,2
Fortaleza,Ceara,2016-01-06,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Salvador,Bahia,2016-01-07,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Curitiba,Paraná,2016-01-07,Smart TV 50' 4K,LG,Televisão,2600,1700,2
Rio de Janeiro,Rio de Janeiro,2016-01-08,Smart TV 50' 4K,LG,Televisão,2600,1700,4
São Paulo,São Paulo,2016-01-09,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Porto Alegre,Rio Grande do Sul,2016-01-09,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Goiânia,Goias,2016-01-09,Smart TV 50' 4K,LG,Televisão,2600,1700,4
São Paulo,São Paulo,2016-01-09,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Guarulhos,São Paulo,2016-01-09,Smart TV 50' 4K,LG,Televisão,2600,1700,4
São Paulo,São Paulo,2016-01-10,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Campinas,São Paulo,2016-01-10,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Belo Horizonte,Minas Gerais,2016-01-11,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Porto Alegre,Rio Grande do Sul,2016-01-11,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Campinas,São Paulo,2016-01-12,Smart TV 50' 4K,LG,Televisão,2600,1700,2
Fortaleza,Ceara,2016-01-12,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Belo Horizonte,Minas Gerais,2016-01-12,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Recife,Pernanbuco,2016-01-13,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Curitiba,Paraná,2016-01-13,Smart TV 50' 4K,LG,Televisão,2600,1700,2
São Paulo,São Paulo,2016-01-14,Smart TV 50' 4K,LG,Televisão,2600,1700,2
Nova Iguaçu,Rio de Janeiro,2016-01-14,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Campinas,São Paulo,2016-01-14,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Curitiba,Paraná,2016-01-15,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Fortaleza,Ceara,2016-01-15,Smart TV 50' 4K,LG,Televisão,2600,1700,2
São Paulo,São Paulo,2016-01-15,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Salvador,Bahia,2016-01-15,Smart TV 50' 4K,LG,Televisão,2600,1700,4
Belo Horizonte,Minas Gerais,2016-01-16,Smart TV 50' 4K,LG,Televisão,2600,1700,3
São Paulo,São Paulo,2016-01-16,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Rio de Janeiro,Rio de Janeiro,2016-01-16,Smart TV 50' 4K,LG,Televisão,2600,1700,2
Belo Horizonte,Minas Gerais,2016-01-17,Smart TV 50' 4K,LG,Televisão,2600,1700,5
São Paulo,São Paulo,2016-01-17,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Rio de Janeiro,Rio de Janeiro,2016-01-18,Smart TV 50' 4K,LG,Televisão,2600,1700,1
