Pais,Status
 BRASIL ,ativo
Chile,Inativo
Peru,Inativo
Argentina,Inativo
URUGUAI,Ativo
Brasil,Inativo
BRASIL,ativo
brasil,ativo
 chile ,Inativo
URUGUAI,inativo
   Brasil   ,inativo
colômbia,ativo
peru,Inativo
  Uruguai  ,inativo
Colômbia,ativo
Colômbia,inativo
uruguai,Ativo
Colômbia,inativo
Colômbia,inativo
,inativo
Colômbia,
  URUGUAI  ,inativo
uruguai,inativo
   chile   ,Inativo
  Peru  ,ativo
Colômbia,ativo
Chile,inativo
 CHILE ,ativo
Brasil,ativo
brasil,inativo
chile,Inativo
,ativo
,inativo
 Colômbia ,ativo
 Chile ,Ativo
 Colômbia ,inativo
uruguai,Inativo
 Uruguai ,Inativo
,Inativo
,
  colômbia  ,
CHILE,ativo
 COLÔMBIA ,Ativo
,Ativo
,ativo
Chile,Inativo
chile,inativo
 Colômbia ,ativo
 URUGUAI ,Inativo
URUGUAI,ativo
