Produto,Preco,Estoque
Mouse,219.62,22
Celular,2790.2,28
Notebook,3176.34,7
Mouse,2041.67,34
Webcam,179.05,32
Celular,2790.2,28
Tablet,1062.94,45
Teclado,3024.69,5
Mouse,1116.94,26
Câmera,981.93,48
Impressora,1138.81,23
Mouse,1116.94,26
Monitor,1583.12,22
Teclado,1289.73,34
Fone,3143.97,44
Fone,1024.47,24
Câmera,1711.92,5
Fone,3987.42,33
Webcam,3379.55,20
Fone,1945.57,34
Mouse,2130.84,28
Mouse,1809.44,46
Webcam,3579.91,41
Impressora,2505.29,27
Fone,1945.57,34
Webcam,2984.79,28
Notebook,1131.06,42
Webcam,3379.55,20
Fone,582.79,14
Webcam,2984.79,28
Impressora,3621.01,25
Webcam,3894.39,23
Notebook,3886.72,41
Câmera,3497.91,23
Celular,392.87,15
Tablet,1827.53,34
Celular,397.37,5
Câmera,239.77,24
Mouse,2130.84,28
Notebook,1131.06,42
Celular,397.37,5
Monitor,1583.12,22
Webcam,2644.42,50
Fone,1866.4,32
Impressora,2505.29,27
Monitor,1487.75,11
Impressora,2069.9,44
Câmera,2653.0,48
Teclado,3609.28,30
Notebook,1694.95,25
